,LogName,RuleName,UtcTime,ProcessGuid,ProcessId,QueryName,QueryStatus,QueryResults,Image,User,EventType,TargetObject,Details,FileVersion,Description,Product,Company,OriginalFileName,CommandLine,CurrentDirectory,LogonGuid,LogonId,TerminalSessionId,IntegrityLevel,Hashes,ParentProcessGuid,ParentProcessId,ParentCommandLine,ParentUser,TargetFilename,CreationUtcTime,Protocol,Initiated,SourceIp,SourceHostname,SourcePort,SourcePortName,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName
11," Process Create:
",-,2022-10-25 01:35:17.569,{fb91fd7c-3d55-6357-1201-000000000d00},3132,,,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,MSHOME\Administrator,,,,10.0.17763.1 (WinBuild.160101.0800),Windows PowerShell,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,PowerShell.EXE,"powershell  -c ""\uploads\Collection.ps1""",C:\,{fb91fd7c-3c05-6357-2754-0e0000000000},0xE5427,0,High,"MD5=7353F60B1739074EB17C5F4DDDEFE239,SHA256=DE96A6E69944335375DC1AC238336066889D9FFC7D73628EF4FE1B1B160AB32C,IMPHASH=741776AACCFC5B71FF59832DCDCACE0F",{fb91fd7c-3d55-6357-1001-000000000d00},3688,"cmd.exe /Q /c powershell -c ""\uploads\Collection.ps1"" 1> \\127.0.0.1\ADMIN$\__1666661380.4618123 2>&1",MSHOME\Administrator,,,,,,,,,,,,
12," File created:
",-,2022-10-25 01:35:17.635,{fb91fd7c-3d55-6357-1201-000000000d00},3132,,,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,MSHOME\Administrator,,,,,,,,,,,,,,,,,,,,C:\Users\Administrator\AppData\Local\Temp\__PSScriptPolicyTest_krc5fadc.42k.ps1,2022-10-25 01:35:17.635,,,,,,,,,,
13," Process Create:
",-,2022-10-25 01:35:18.113,{fb91fd7c-3d56-6357-1301-000000000d00},896,,,,C:\Windows\System32\reg.exe,MSHOME\Administrator,,,,10.0.17763.1 (WinBuild.160101.0800),Registry Console Tool,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,reg.exe,"""C:\Windows\system32\reg.exe"" save hklm\sam c:\temp\sam.save",C:\,{fb91fd7c-3c05-6357-2754-0e0000000000},0xE5427,0,High,"MD5=8A93ACAC33151793F8D52000071C0B06,SHA256=19316D4266D0B776D9B2A05D5903D8CBC8F0EA1520E9C2A7E6D5960B6FA4DCAF,IMPHASH=BE482BE427FE212CFEF2CDA0E61F19AC",{fb91fd7c-3d55-6357-1201-000000000d00},3132,"powershell  -c ""\uploads\Collection.ps1""",MSHOME\Administrator,,,,,,,,,,,,
14," Process Create:
",-,2022-10-25 01:35:18.863,{fb91fd7c-3d56-6357-1401-000000000d00},5084,,,,C:\Windows\System32\reg.exe,MSHOME\Administrator,,,,10.0.17763.1 (WinBuild.160101.0800),Registry Console Tool,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,reg.exe,"""C:\Windows\system32\reg.exe"" save hklm\security c:\temp\security.save",C:\,{fb91fd7c-3c05-6357-2754-0e0000000000},0xE5427,0,High,"MD5=8A93ACAC33151793F8D52000071C0B06,SHA256=19316D4266D0B776D9B2A05D5903D8CBC8F0EA1520E9C2A7E6D5960B6FA4DCAF,IMPHASH=BE482BE427FE212CFEF2CDA0E61F19AC",{fb91fd7c-3d55-6357-1201-000000000d00},3132,"powershell  -c ""\uploads\Collection.ps1""",MSHOME\Administrator,,,,,,,,,,,,
15," Process Create:
",-,2022-10-25 01:35:19.393,{fb91fd7c-3d57-6357-1501-000000000d00},2944,,,,C:\Windows\System32\reg.exe,MSHOME\Administrator,,,,10.0.17763.1 (WinBuild.160101.0800),Registry Console Tool,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,reg.exe,"""C:\Windows\system32\reg.exe"" save hklm\system c:\temp\system.save",C:\,{fb91fd7c-3c05-6357-2754-0e0000000000},0xE5427,0,High,"MD5=8A93ACAC33151793F8D52000071C0B06,SHA256=19316D4266D0B776D9B2A05D5903D8CBC8F0EA1520E9C2A7E6D5960B6FA4DCAF,IMPHASH=BE482BE427FE212CFEF2CDA0E61F19AC",{fb91fd7c-3d55-6357-1201-000000000d00},3132,"powershell  -c ""\uploads\Collection.ps1""",MSHOME\Administrator,,,,,,,,,,,,
16," Process Create:
",-,2022-10-25 01:35:21.607,{fb91fd7c-3d59-6357-1601-000000000d00},4648,,,,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2209.7-0\MpCmdRun.exe,NT AUTHORITY\SYSTEM,,,,4.18.2209.7 (WinBuild.160101.0800),Microsoft Malware Protection Command Line Utility,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,MpCmdRun.exe,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MpCmdRun.exe"" SignatureUpdate -ScheduleJob -RestrictPrivileges",C:\Windows\system32\,{fb91fd7c-ca58-6356-e703-000000000000},0x3E7,0,System,"MD5=0D800706BF6B70A0F892261262349A0F,SHA256=E8A515CAF02F0A75622FD1CC0D34D6CBC045E073BCC3CC2F08C38E86C1FE9A4F,IMPHASH=C0AB138D21991F47C1952DF4C9D5601D",{00000000-0000-0000-0000-000000000000},2400,-,-,,,,,,,,,,,,
17," Process Create:
",-,2022-10-25 01:35:21.610,{fb91fd7c-3d59-6357-1701-000000000d00},1416,,,,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2209.7-0\MpCmdRun.exe,NT AUTHORITY\SYSTEM,,,,4.18.2209.7 (WinBuild.160101.0800),Microsoft Malware Protection Command Line Utility,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,MpCmdRun.exe,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MpCmdRun.exe"" Scan -ScheduleJob -RestrictPrivileges -ScanType 1 -ScanTrigger 59",C:\Windows\system32\,{fb91fd7c-ca58-6356-e703-000000000000},0x3E7,0,System,"MD5=0D800706BF6B70A0F892261262349A0F,SHA256=E8A515CAF02F0A75622FD1CC0D34D6CBC045E073BCC3CC2F08C38E86C1FE9A4F,IMPHASH=C0AB138D21991F47C1952DF4C9D5601D",{00000000-0000-0000-0000-000000000000},2400,-,-,,,,,,,,,,,,
18," File created:
",DLL,2022-10-25 01:35:21.626,{fb91fd7c-3af3-6357-3000-000000000d00},2400,,,,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MsMpEng.exe,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{7D7337CD-D139-4F5C-94BD-8DD98B5005C5}\mpengine.dll,2022-10-25 01:35:21.626,,,,,,,,,,
19," Process Create:
",-,2022-10-25 01:35:22.361,{fb91fd7c-3d5a-6357-1a01-000000000d00},2540,,,,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2209.7-0\MpCmdRun.exe,NT AUTHORITY\NETWORK SERVICE,,,,4.18.2209.7 (WinBuild.160101.0800),Microsoft Malware Protection Command Line Utility,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,MpCmdRun.exe,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MpCmdRun.exe"" SignatureUpdate -ScheduleJob -RestrictPrivileges -Reinvoke",C:\Windows\system32\,{fb91fd7c-ca5a-6356-e403-000000000000},0x3E4,0,System,"MD5=0D800706BF6B70A0F892261262349A0F,SHA256=E8A515CAF02F0A75622FD1CC0D34D6CBC045E073BCC3CC2F08C38E86C1FE9A4F,IMPHASH=C0AB138D21991F47C1952DF4C9D5601D",{fb91fd7c-3d59-6357-1601-000000000d00},4648,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MpCmdRun.exe"" SignatureUpdate -ScheduleJob -RestrictPrivileges",NT AUTHORITY\SYSTEM,,,,,,,,,,,,
20," Process Create:
",-,2022-10-25 01:35:22.369,{fb91fd7c-3d5a-6357-1b01-000000000d00},3092,,,,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2209.7-0\MpCmdRun.exe,NT AUTHORITY\NETWORK SERVICE,,,,4.18.2209.7 (WinBuild.160101.0800),Microsoft Malware Protection Command Line Utility,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,MpCmdRun.exe,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MpCmdRun.exe"" Scan -ScheduleJob -RestrictPrivileges -ScanType 1 -ScanTrigger 59 -Reinvoke",C:\Windows\system32\,{fb91fd7c-ca5a-6356-e403-000000000000},0x3E4,0,System,"MD5=0D800706BF6B70A0F892261262349A0F,SHA256=E8A515CAF02F0A75622FD1CC0D34D6CBC045E073BCC3CC2F08C38E86C1FE9A4F,IMPHASH=C0AB138D21991F47C1952DF4C9D5601D",{fb91fd7c-3d59-6357-1701-000000000d00},1416,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MpCmdRun.exe"" Scan -ScheduleJob -RestrictPrivileges -ScanType 1 -ScanTrigger 59",NT AUTHORITY\SYSTEM,,,,,,,,,,,,
21," Process Create:
",-,2022-10-25 01:35:22.512,{fb91fd7c-3d5a-6357-1c01-000000000d00},3096,,,,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2209.7-0\MpCmdRun.exe,NT AUTHORITY\SYSTEM,,,,4.18.2209.7 (WinBuild.160101.0800),Microsoft Malware Protection Command Line Utility,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,MpCmdRun.exe,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MpCmdRun.exe"" SignaturesUpdateService -ScheduleJob -HttpDownload -RestrictPrivileges",C:\Windows\system32\,{fb91fd7c-ca58-6356-e703-000000000000},0x3E7,0,System,"MD5=0D800706BF6B70A0F892261262349A0F,SHA256=E8A515CAF02F0A75622FD1CC0D34D6CBC045E073BCC3CC2F08C38E86C1FE9A4F,IMPHASH=C0AB138D21991F47C1952DF4C9D5601D",{fb91fd7c-3af3-6357-3000-000000000d00},2400,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MsMpEng.exe""",NT AUTHORITY\SYSTEM,,,,,,,,,,,,
22," Process Create:
",-,2022-10-25 01:35:22.609,{fb91fd7c-3d5a-6357-1e01-000000000d00},3120,,,,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2209.7-0\MpCmdRun.exe,NT AUTHORITY\NETWORK SERVICE,,,,4.18.2209.7 (WinBuild.160101.0800),Microsoft Malware Protection Command Line Utility,MicrosoftÂ® WindowsÂ® Operating System,Microsoft Corporation,MpCmdRun.exe,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MpCmdRun.exe"" SignaturesUpdateService -ScheduleJob -HttpDownload -RestrictPrivileges -Reinvoke",C:\Windows\system32\,{fb91fd7c-ca5a-6356-e403-000000000000},0x3E4,0,System,"MD5=0D800706BF6B70A0F892261262349A0F,SHA256=E8A515CAF02F0A75622FD1CC0D34D6CBC045E073BCC3CC2F08C38E86C1FE9A4F,IMPHASH=C0AB138D21991F47C1952DF4C9D5601D",{fb91fd7c-3d5a-6357-1c01-000000000d00},3096,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MpCmdRun.exe"" SignaturesUpdateService -ScheduleJob -HttpDownload -RestrictPrivileges",NT AUTHORITY\SYSTEM,,,,,,,,,,,,
23," File created:
",EXE,2022-10-25 01:35:22.705,{fb91fd7c-3d5a-6357-1e01-000000000d00},3120,,,,C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MpCmdRun.exe,NT AUTHORITY\NETWORK SERVICE,,,,,,,,,,,,,,,,,,,,C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp\mpam-faa45815.exe,2022-10-25 01:35:22.705,,,,,,,,,,
24," Process Create:
",-,2022-10-25 01:35:24.997,{fb91fd7c-3d5c-6357-1f01-000000000d00},4668,,,,C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp\mpam-faa45815.exe,NT AUTHORITY\NETWORK SERVICE,,,,1.377.757.0,AntiMalware Definition Update,Microsoft Malware Protection,Microsoft Corporation,mpam-d_bd_1.377.720.0.exe,"""C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp\mpam-faa45815.exe"" /q WD",C:\Windows\system32\,{fb91fd7c-ca5a-6356-e403-000000000000},0x3E4,0,System,"MD5=1FB4D3BEC4F8C29D12563318CF0AD6D3,SHA256=D014D59F64FE72F57641851A33FE044AE980C82F7C001A03F7F98AFCBAA2A64E,IMPHASH=C757B6532BF3304F2E1DA07EFE23042E",{fb91fd7c-3d5a-6357-1e01-000000000d00},3120,"""C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2209.7-0\MpCmdRun.exe"" SignaturesUpdateService -ScheduleJob -HttpDownload -RestrictPrivileges -Reinvoke",NT AUTHORITY\NETWORK SERVICE,,,,,,,,,,,,
25," File created:
",EXE,2022-10-25 01:35:32.819,{fb91fd7c-3d5c-6357-1f01-000000000d00},4668,,,,C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp\mpam-faa45815.exe,NT AUTHORITY\NETWORK SERVICE,,,,,,,,,,,,,,,,,,,,C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp\9A7630FB-BB53-438E-BDF7-D07524160A62\MpSigStub.exe,2022-10-25 01:35:32.819,,,,,,,,,,
26," File creation time changed:
",T1099,2022-10-25 01:35:32.819,{fb91fd7c-3d5c-6357-1f01-000000000d00},4668,,,,C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp\mpam-faa45815.exe,NT AUTHORITY\NETWORK SERVICE,,,,,,,,,,,,,,,,,,,,C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp\9A7630FB-BB53-438E-BDF7-D07524160A62\MpSigStub.exe,2022-10-24 19:01:22.000,,,,,,,,,,
27," Process Create:
",-,2022-10-25 01:35:32.852,{fb91fd7c-3d64-6357-2001-000000000d00},3076,,,,C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp\9A7630FB-BB53-438E-BDF7-D07524160A62\MpSigStub.exe,NT AUTHORITY\NETWORK SERVICE,,,,1.1.18500.10 (bd3bd17b10e8c188734ef863541b1db0d3f8b954),Microsoft Malware Protection Signature Update Stub,Microsoft Malware Protection,Microsoft Corporation,MpSigStub.exe,C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp\9A7630FB-BB53-438E-BDF7-D07524160A62\MpSigStub.exe /stub 1.1.18500.10 /payload 1.377.757.0 /program C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp\mpam-faa45815.exe /q WD,C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp\9A7630FB-BB53-438E-BDF7-D07524160A62\,{fb91fd7c-ca5a-6356-e403-000000000000},0x3E4,0,System,"MD5=01F92DC7A766FF783AE7AF40FD0334FB,SHA256=FA42B9B84754E2E8368E8929FA045BE86DBD72678176EE75814D2A16D23E5C26,IMPHASH=17C9015AF786E0332059F422B92FB6BB",{fb91fd7c-3d5c-6357-1f01-000000000d00},4668,"""C:\Windows\SERVIC~1\NETWOR~1\AppData\Local\Temp\mpam-faa45815.exe"" /q WD",NT AUTHORITY\NETWORK SERVICE,,,,,,,,,,,,
28," Registry value set:
",InvDB-Path,2022-10-25 01:35:33.336,{fb91fd7c-3af2-6357-2c00-000000000d00},2284,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{a5879ece-96d6-2bec-5e0c-512331304f40}\Root\InventoryApplicationFile\mpam-faa45815.ex|eb1c644afb3051e\LowerCaseLongPath,c:\windows\serviceprofiles\networkservice\appdata\local\temp\mpam-faa45815.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29," Registry value set:
",InvDB-Pub,2022-10-25 01:35:33.336,{fb91fd7c-3af2-6357-2c00-000000000d00},2284,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{a5879ece-96d6-2bec-5e0c-512331304f40}\Root\InventoryApplicationFile\mpam-faa45815.ex|eb1c644afb3051e\Publisher,microsoft corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30," Registry value set:
",InvDB-CompileTimeClaim,2022-10-25 01:35:33.336,{fb91fd7c-3af2-6357-2c00-000000000d00},2284,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{a5879ece-96d6-2bec-5e0c-512331304f40}\Root\InventoryApplicationFile\mpam-faa45815.ex|eb1c644afb3051e\LinkDate,10/24/2022 19:06:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31," Registry value set:
",InvDB-Ver,2022-10-25 01:35:33.336,{fb91fd7c-3af2-6357-2c00-000000000d00},2284,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{a5879ece-96d6-2bec-5e0c-512331304f40}\Root\InventoryApplicationFile\mpam-faa45815.ex|eb1c644afb3051e\BinProductVersion,1.377.757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32," Registry value set:
",InvDB-Path,2022-10-25 01:35:40.195,{fb91fd7c-3af2-6357-2c00-000000000d00},2284,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{a5879ece-96d6-2bec-5e0c-512331304f40}\Root\InventoryApplicationFile\mpsigstub.exe|5453cfdd7456e45d\LowerCaseLongPath,c:\windows\serviceprofiles\networkservice\appdata\local\temp\9a7630fb-bb53-438e-bdf7-d07524160a62\mpsigstub.exe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33," Registry value set:
",InvDB-Pub,2022-10-25 01:35:40.195,{fb91fd7c-3af2-6357-2c00-000000000d00},2284,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{a5879ece-96d6-2bec-5e0c-512331304f40}\Root\InventoryApplicationFile\mpsigstub.exe|5453cfdd7456e45d\Publisher,microsoft corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34," Registry value set:
",InvDB-CompileTimeClaim,2022-10-25 01:35:40.195,{fb91fd7c-3af2-6357-2c00-000000000d00},2284,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{a5879ece-96d6-2bec-5e0c-512331304f40}\Root\InventoryApplicationFile\mpsigstub.exe|5453cfdd7456e45d\LinkDate,07/24/2012 13:44:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35," Registry value set:
",InvDB-Ver,2022-10-25 01:35:40.195,{fb91fd7c-3af2-6357-2c00-000000000d00},2284,,,,C:\Windows\System32\svchost.exe,NT AUTHORITY\SYSTEM,SetValue,\REGISTRY\A\{a5879ece-96d6-2bec-5e0c-512331304f40}\Root\InventoryApplicationFile\mpsigstub.exe|5453cfdd7456e45d\BinProductVersion,1.1.18500.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
