"@timestamp","@version","@version.keyword","_id","_index","_score","event.original","event.original.keyword","log.offset","log_type","log_type.keyword",message,"message.keyword",stream,"stream.keyword",tags,"tags.keyword"
"Oct 24, 2022 @ 07:18:00.100",1,1,vyRcCoQBHX4V2FyhSxy0,"smtp-2022.10.24","-","2022-10-24 14:18:00,100 INFO spawned: 'processes' with pid 7","2022-10-24 14:18:00,100 INFO spawned: 'processes' with pid 7","254,218","SMTP_LOG","SMTP_LOG","2022-10-24 14:18:00,100 INFO spawned: 'processes' with pid 7","2022-10-24 14:18:00,100 INFO spawned: 'processes' with pid 7",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 24, 2022 @ 07:17:59.098",1,1,yCRcCoQBHX4V2FyhSxy1,"smtp-2022.10.24","-","2022-10-24 14:17:59,098 INFO supervisord started with pid 1","2022-10-24 14:17:59,098 INFO supervisord started with pid 1","254,088","SMTP_LOG","SMTP_LOG","2022-10-24 14:17:59,098 INFO supervisord started with pid 1","2022-10-24 14:17:59,098 INFO supervisord started with pid 1",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 24, 2022 @ 07:17:59.096",1,1,xyRcCoQBHX4V2FyhSxy1,"smtp-2022.10.24","-","2022-10-24 14:17:59,095 INFO Set uid to user 0 succeeded","2022-10-24 14:17:59,095 INFO Set uid to user 0 succeeded","253,962","SMTP_LOG","SMTP_LOG","2022-10-24 14:17:59,095 INFO Set uid to user 0 succeeded","2022-10-24 14:17:59,095 INFO Set uid to user 0 succeeded",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.456",1,1,xiRcCoQBHX4V2FyhSxy1,"smtp-2022.10.24","-","2022-10-24 00:24:18,456 INFO stopped: processes (terminated by SIGTERM)","2022-10-24 00:24:18,456 INFO stopped: processes (terminated by SIGTERM)","253,820","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,456 INFO stopped: processes (terminated by SIGTERM)","2022-10-24 00:24:18,456 INFO stopped: processes (terminated by SIGTERM)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.454",1,1,1SRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:18,453 INFO reaped unknown pid 591 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 591 (terminated by SIGTERM)","253,528","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,453 INFO reaped unknown pid 591 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 591 (terminated by SIGTERM)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.454",1,1,1iRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:18,454 INFO reaped unknown pid 609 (terminated by SIGTERM)","2022-10-24 00:24:18,454 INFO reaped unknown pid 609 (terminated by SIGTERM)","253,674","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,454 INFO reaped unknown pid 609 (terminated by SIGTERM)","2022-10-24 00:24:18,454 INFO reaped unknown pid 609 (terminated by SIGTERM)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.453",1,1,0SRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:18,453 INFO reaped unknown pid 448 (exit status 15)","2022-10-24 00:24:18,453 INFO reaped unknown pid 448 (exit status 15)","252,951","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,453 INFO reaped unknown pid 448 (exit status 15)","2022-10-24 00:24:18,453 INFO reaped unknown pid 448 (exit status 15)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.453",1,1,0iRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:18,453 INFO reaped unknown pid 449 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 449 (terminated by SIGTERM)","253,090","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,453 INFO reaped unknown pid 449 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 449 (terminated by SIGTERM)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.453",1,1,xSRcCoQBHX4V2FyhSxy1,"smtp-2022.10.24","-","2022-10-24 00:24:18,453 INFO reaped unknown pid 341 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 341 (terminated by SIGTERM)","252,367","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,453 INFO reaped unknown pid 341 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 341 (terminated by SIGTERM)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.453",1,1,zCRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:18,453 INFO stopped: postfix (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO stopped: postfix (terminated by SIGTERM)","252,081","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,453 INFO stopped: postfix (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO stopped: postfix (terminated by SIGTERM)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.453",1,1,zSRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:18,453 INFO reaped unknown pid 340 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 340 (terminated by SIGTERM)","252,221","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,453 INFO reaped unknown pid 340 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 340 (terminated by SIGTERM)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.453",1,1,ziRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:18,453 INFO reaped unknown pid 342 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 342 (terminated by SIGTERM)","252,513","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,453 INFO reaped unknown pid 342 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 342 (terminated by SIGTERM)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.453",1,1,zyRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:18,453 INFO reaped unknown pid 344 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 344 (terminated by SIGTERM)","252,659","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,453 INFO reaped unknown pid 344 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 344 (terminated by SIGTERM)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.453",1,1,0CRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:18,453 INFO reaped unknown pid 347 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 347 (terminated by SIGTERM)","252,805","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,453 INFO reaped unknown pid 347 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 347 (terminated by SIGTERM)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.453",1,1,0yRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:18,453 INFO reaped unknown pid 450 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 450 (terminated by SIGTERM)","253,236","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,453 INFO reaped unknown pid 450 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 450 (terminated by SIGTERM)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:18.453",1,1,1CRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:18,453 INFO reaped unknown pid 586 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 586 (terminated by SIGTERM)","253,382","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:18,453 INFO reaped unknown pid 586 (terminated by SIGTERM)","2022-10-24 00:24:18,453 INFO reaped unknown pid 586 (terminated by SIGTERM)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:17.401",1,1,yyRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:17,401 INFO stopped: syslog-ng (exit status 0)","2022-10-24 00:24:17,401 INFO stopped: syslog-ng (exit status 0)","251,947","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:17,401 INFO stopped: syslog-ng (exit status 0)","2022-10-24 00:24:17,401 INFO stopped: syslog-ng (exit status 0)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:17.147",1,1,yiRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","Oct 24 00:24:17 5a6cfb7a7ed3 syslog-ng[8]: syslog-ng shutting down; version='3.28.1'","Oct 24 00:24:17 5a6cfb7a7ed3 syslog-ng[8]: syslog-ng shutting down; version='3.28.1'","251,792","SMTP_LOG","SMTP_LOG","Oct 24 00:24:17 5a6cfb7a7ed3 syslog-ng[8]: syslog-ng shutting down; version='3.28.1'","Oct 24 00:24:17 5a6cfb7a7ed3 syslog-ng[8]: syslog-ng shutting down; version='3.28.1'",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:17.130",1,1,ySRcCoQBHX4V2FyhSxzD,"smtp-2022.10.24","-","2022-10-24 00:24:17,130 INFO waiting for processes, postfix, syslog-ng to die","2022-10-24 00:24:17,130 INFO waiting for processes, postfix, syslog-ng to die","251,644","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:17,130 INFO waiting for processes, postfix, syslog-ng to die","2022-10-24 00:24:17,130 INFO waiting for processes, postfix, syslog-ng to die",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 17:24:17.106",1,1,viRcCoQBHX4V2FyhSxy0,"smtp-2022.10.24","-","2022-10-24 00:24:17,090 WARN received SIGTERM indicating exit request","2022-10-24 00:24:17,090 WARN received SIGTERM indicating exit request","251,504","SMTP_LOG","SMTP_LOG","2022-10-24 00:24:17,090 WARN received SIGTERM indicating exit request","2022-10-24 00:24:17,090 WARN received SIGTERM indicating exit request",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 16:06:02.643",1,1,bzMYB4QBz0FhWM8BmxGN,"smtp-2022.10.23","-","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/qmgr[342]: 1139A45BBF: removed","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/qmgr[342]: 1139A45BBF: removed","251,366","SMTP_LOG","SMTP_LOG","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/qmgr[342]: 1139A45BBF: removed","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/qmgr[342]: 1139A45BBF: removed",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 16:06:02.642",1,1,dDMYB4QBz0FhWM8BmxGU,"smtp-2022.10.23","-","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/lmtp[443]: 1139A45BBF: to=<xianfu@pmcmail.org>, relay=dovecot[172.22.1.250]:24, delay=4.7, delays=4.6/0.02/0.01/0.09, dsn=2.0.0, status=sent (250 2.0.0 <xianfu@pmcmail.org> WN/AINrIVWNNAgAA6RUn+A Saved)","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/lmtp[443]: 1139A45BBF: to=<xianfu@pmcmail.org>, relay=dovecot[172.22.1.250]:24, delay=4.7, delays=4.6/0.02/0.01/0.09, dsn=2.0.0, status=sent (250 2.0.0 <xianfu@pmcmail.org> WN/AINrIVWNNAgAA6RUn+A Saved)","251,036","SMTP_LOG","SMTP_LOG","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/lmtp[443]: 1139A45BBF: to=<xianfu@pmcmail.org>, relay=dovecot[172.22.1.250]:24, delay=4.7, delays=4.6/0.02/0.01/0.09, dsn=2.0.0, status=sent (250 2.0.0 <xianfu@pmcmail.org> WN/AINrIVWNNAgAA6RUn+A Saved)","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/lmtp[443]: 1139A45BBF: to=<xianfu@pmcmail.org>, relay=dovecot[172.22.1.250]:24, delay=4.7, delays=4.6/0.02/0.01/0.09, dsn=2.0.0, status=sent (250 2.0.0 <xianfu@pmcmail.org> WN/AINrIVWNNAgAA6RUn+A Saved)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 16:06:02.526",1,1,czMYB4QBz0FhWM8BmxGU,"smtp-2022.10.23","-","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/qmgr[342]: 1139A45BBF: from=<danieltay@pmcmail.org>, size=632436, nrcpt=1 (queue active)","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/qmgr[342]: 1139A45BBF: from=<danieltay@pmcmail.org>, size=632436, nrcpt=1 (queue active)","250,831","SMTP_LOG","SMTP_LOG","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/qmgr[342]: 1139A45BBF: from=<danieltay@pmcmail.org>, size=632436, nrcpt=1 (queue active)","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/qmgr[342]: 1139A45BBF: from=<danieltay@pmcmail.org>, size=632436, nrcpt=1 (queue active)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 16:06:02.523",1,1,bjMYB4QBz0FhWM8BmxGN,"smtp-2022.10.23","-","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/sogo/smtpd[439]: disconnect from mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network[172.22.1.248] ehlo=1 auth=1 mail=1 rcpt=1 data=1 quit=1 commands=6","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/sogo/smtpd[439]: disconnect from mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network[172.22.1.248] ehlo=1 auth=1 mail=1 rcpt=1 data=1 quit=1 commands=6","250,558","SMTP_LOG","SMTP_LOG","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/sogo/smtpd[439]: disconnect from mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network[172.22.1.248] ehlo=1 auth=1 mail=1 rcpt=1 data=1 quit=1 commands=6","Oct 23 23:06:02 5a6cfb7a7ed3 postfix/sogo/smtpd[439]: disconnect from mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network[172.22.1.248] ehlo=1 auth=1 mail=1 rcpt=1 data=1 quit=1 commands=6",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 16:05:58.079",1,1,bDMYB4QBz0FhWM8BmxGL,"smtp-2022.10.23","-","Oct 23 23:05:58 5a6cfb7a7ed3 postfix/cleanup[442]: 1139A45BBF: message-id=<3e-6355c900-3-1182a200@217601524>","Oct 23 23:05:58 5a6cfb7a7ed3 postfix/cleanup[442]: 1139A45BBF: message-id=<3e-6355c900-3-1182a200@217601524>","250,369","SMTP_LOG","SMTP_LOG","Oct 23 23:05:58 5a6cfb7a7ed3 postfix/cleanup[442]: 1139A45BBF: message-id=<3e-6355c900-3-1182a200@217601524>","Oct 23 23:05:58 5a6cfb7a7ed3 postfix/cleanup[442]: 1139A45BBF: message-id=<3e-6355c900-3-1182a200@217601524>",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 16:05:58.079",1,1,cjMYB4QBz0FhWM8BmxGU,"smtp-2022.10.23","-","Oct 23 23:05:58 5a6cfb7a7ed3 postfix/cleanup[442]: 1139A45BBF: replace: header Received: from 0e58ee347491 (mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network [172.22.1.248])??(Authenticated sender: danieltay@pmcmail.org)??by mail.ubuntu.local (Postcow) with ESMT from mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network[172.22.1.248]; from=<danieltay@pmcmail.org> to=<xianfu@pmcmail.org> proto=ESMTP helo=<0e58ee347491>: Received: from [127.0.0.1] (localhost [127.0.0.1]) by localhost (Mailerdaemon) with ESMTPA id 1139A45BBF??for <xianfu@pmcmail.org>; Sun, 23 Oct 2022 23:05:57 +0000 (UTC)","Oct 23 23:05:58 5a6cfb7a7ed3 postfix/cleanup[442]: 1139A45BBF: replace: header Received: from 0e58ee347491 (mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network [172.22.1.248])??(Authenticated sender: danieltay@pmcmail.org)??by mail.ubuntu.local (Postcow) with ESMT from mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network[172.22.1.248]; from=<danieltay@pmcmail.org> to=<xianfu@pmcmail.org> proto=ESMTP helo=<0e58ee347491>: Received: from [127.0.0.1] (localhost [127.0.0.1]) by localhost (Mailerdaemon) with ESMTPA id 1139A45BBF??for <xianfu@pmcmail.org>; Sun, 23 Oct 2022 23:05:57 +0000 (UTC)","249,636","SMTP_LOG","SMTP_LOG","Oct 23 23:05:58 5a6cfb7a7ed3 postfix/cleanup[442]: 1139A45BBF: replace: header Received: from 0e58ee347491 (mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network [172.22.1.248])??(Authenticated sender: danieltay@pmcmail.org)??by mail.ubuntu.local (Postcow) with ESMT from mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network[172.22.1.248]; from=<danieltay@pmcmail.org> to=<xianfu@pmcmail.org> proto=ESMTP helo=<0e58ee347491>: Received: from [127.0.0.1] (localhost [127.0.0.1]) by localhost (Mailerdaemon) with ESMTPA id 1139A45BBF??for <xianfu@pmcmail.org>; Sun, 23 Oct 2022 23:05:57 +0000 (UTC)","Oct 23 23:05:58 5a6cfb7a7ed3 postfix/cleanup[442]: 1139A45BBF: replace: header Received: from 0e58ee347491 (mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network [172.22.1.248])??(Authenticated sender: danieltay@pmcmail.org)??by mail.ubuntu.local (Postcow) with ESMT from mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network[172.22.1.248]; from=<danieltay@pmcmail.org> to=<xianfu@pmcmail.org> proto=ESMTP helo=<0e58ee347491>: Received: from [127.0.0.1] (localhost [127.0.0.1]) by localhost (Mailerdaemon) with ESMTPA id 1139A45BBF??for <xianfu@pmcmail.org>; Sun, 23 Oct 2022 23:05:57 +0000 (UTC)",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
"Oct 23, 2022 @ 16:05:58.071",1,1,bTMYB4QBz0FhWM8BmxGN,"smtp-2022.10.23","-","Oct 23 23:05:58 5a6cfb7a7ed3 postfix/sogo/smtpd[439]: 1139A45BBF: client=mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network[172.22.1.248], sasl_method=PLAIN, sasl_username=danieltay@pmcmail.org","Oct 23 23:05:58 5a6cfb7a7ed3 postfix/sogo/smtpd[439]: 1139A45BBF: client=mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network[172.22.1.248], sasl_method=PLAIN, sasl_username=danieltay@pmcmail.org","249,356","SMTP_LOG","SMTP_LOG","Oct 23 23:05:58 5a6cfb7a7ed3 postfix/sogo/smtpd[439]: 1139A45BBF: client=mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network[172.22.1.248], sasl_method=PLAIN, sasl_username=danieltay@pmcmail.org","Oct 23 23:05:58 5a6cfb7a7ed3 postfix/sogo/smtpd[439]: 1139A45BBF: client=mailcowdockerized-sogo-mailcow-1.mailcowdockerized_mailcow-network[172.22.1.248], sasl_method=PLAIN, sasl_username=danieltay@pmcmail.org",stdout,stdout,"beats_input_codec_plain_applied","beats_input_codec_plain_applied"
